"""%Y-%m-%d""";X.DJI.Close;X.GDAXI.Close
2001-11-27;-0.0111;-0.01072
2001-11-28;-0.01642;-0.0288
2001-11-29;0.01203;0.004086
2001-11-30;0.00225;0.01085
2001-12-03;-0.008932;-0.0002946
2001-12-04;0.01321;0.005109
2001-12-05;0.02204;0.04842
2001-12-06;-0.001499;0.001621
2001-12-07;-0.004931;-0.0138
2001-12-10;-0.01282;-0.0144
2001-12-11;-0.00334;0.004239
2001-12-12;0.0006511;-0.01643
2001-12-13;-0.01306;-0.01925
2001-12-14;0.004566;-0.01147
2001-12-17;0.008204;0.03179
2001-12-18;0.0107;-0.00561
2001-12-19;0.007185;-0.01096
2001-12-20;-0.008507;-0.01019
2001-12-21;0.005011;0.01705
2001-12-24;0;0
2001-12-25;0;0
2001-12-26;0.005248;0
2001-12-27;0.00427;0.01936
2001-12-28;0.0005605;0.008362
2001-12-31;-0.01145;0
2002-01-01;0;0
2002-01-02;0.005159;0.001507
2002-01-03;0.009754;0.01962
2002-01-04;0.008575;0.009149
2002-01-07;-0.006129;-0.0164
2002-01-08;-0.004571;0.0007928
2002-01-09;-0.005578;0.009851
2002-01-10;-0.002602;-0.01143
2002-01-11;-0.008011;-0.003476
2002-01-14;-0.00967;-0.02805
2002-01-15;0.003303;-0.0007504
2002-01-16;-0.02158;-0.0155
2002-01-17;0.01409;0.0295
2002-01-18;-0.00797;-0.002178
2002-01-21;0;-0.0103
2002-01-22;-0.005958;-0.004749
2002-01-23;0.001765;0.02298
2002-01-24;0.006669;0.001434
2002-01-25;0.004483;-0.002675
2002-01-28;0.002605;0.0004634
2002-01-29;-0.02541;-0.01455
2002-01-30;0.01492;-0.006377
2002-01-31;0.01597;0.01091
2002-02-01;-0.001285;-0.002068
2002-02-04;-0.02247;-0.02233
2002-02-05;-0.0001714;-0.009622
2002-02-06;-0.003314;-0.02717
2002-02-07;-0.0029;0.01204
2002-02-08;0.01227;-0.0055
2002-02-11;0.01432;0.02129
2002-02-12;-0.002131;-0.01124
2002-02-13;0.01269;0.0103
2002-02-14;0.001233;0.007755
2002-02-15;-0.009942;-0.0226
2002-02-18;0;0.001882
2002-02-19;-0.01607;-0.02236
2002-02-20;0.01992;0.003393
2002-02-21;-0.01077;0.01464
2002-02-22;0.01348;-0.02192
2002-02-25;0.01766;0.02455
2002-02-26;-0.003006;0.007009
2002-02-27;0.001217;0.01267
2002-02-28;-0.00212;0.01577
2002-03-01;0.02566;0.01151
2002-03-04;0.0208;0.0287
2002-03-05;-0.0146;-0.003278
2002-03-06;0.01341;0.01076
2002-03-07;-0.004637;0.0007887
2002-03-08;0.004467;0.01317
2002-03-11;0.003658;-0.003529
2002-03-12;0.001987;-0.01222
2002-03-13;-0.01235;-0.005668
2002-03-14;0.001455;0.005869
2002-03-15;0.00853;0.02327
2002-03-18;-0.002783;0.004605
2002-03-19;0.005421;0.006706
2002-03-20;-0.01265;-0.01808
2002-03-21;-0.002071;-0.002991
2002-03-22;-0.004991;0.003257
2002-03-25;-0.0141;-0.009126
2002-03-26;0.006948;0.01367
2002-03-27;0.007079;-0.007932
2002-03-28;-0.002205;0.009174
2002-03-29;0;0
2002-04-01;-0.003972;0
2002-04-02;-0.004739;-0.0161
2002-04-03;-0.01125;-0.005521
2002-04-04;0.00361;-0.005104
2002-04-05;0.003557;0.001061
2002-04-08;-0.002199;-0.01536
2002-04-09;-0.003951;-0.001948
2002-04-10;0.01681;0.01823
2002-04-11;-0.02001;-0.01964
2002-04-12;0.001447;0.005156
2002-04-15;-0.009579;0.01046
2002-04-16;0.02036;0.01883
2002-04-17;-0.007849;-0.004751
2002-04-18;-0.001518;-0.01052
2002-04-19;0.005066;0.004109
2002-04-22;-0.01184;-0.01508
2002-04-23;-0.004666;-0.002574
2002-04-24;-0.005846;-0.006175
2002-04-25;0.0004615;-0.0207
2002-04-26;-0.01247;-0.01075
2002-04-29;-0.009209;0.001531
2002-04-30;0.01278;0.0066
2002-05-01;0.01134;0
2002-05-02;0.0032;-0.01532
2002-05-03;-0.008482;-0.01661
2002-05-06;-0.02005;-0.0004302
2002-05-07;0.002903;-0.001694
2002-05-08;0.03056;0.03155
2002-05-09;-0.01035;-0.01243
2002-05-10;-0.009761;-0.01927
2002-05-13;0.01693;0.02108
2002-05-14;0.01847;0.01468
2002-05-15;-0.005302;0.004606
2002-05-16;0.004435;-0.004929
2002-05-17;0.006188;-0.00219
2002-05-20;-0.01201;-0.007458
2002-05-21;-0.01218;-0.002881
2002-05-22;0.005149;-0.01315
2002-05-23;0.005713;-0.008164
2002-05-24;-0.01101;0.004015
